Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc01.txt
Idx	Termino	TF	IDF	TF-IDF
56	inteligencia	1	2.30259	2.30259
59	las	1	1.60944	1.60944
103	rob	1	2.30259	2.30259
113	tecnol	1	2.30259	2.30259
115	tica	1	2.30259	2.30259
116	transforman	1	2.30259	2.30259
121	y	1	0.105361	0.105361

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc07.txt
Idx	Termino	TF	IDF	TF-IDF
18	carretera	1	2.30259	2.30259
25	comida	1	2.30259	2.30259
34	del	1	1.60944	1.60944
37	disfrut	1	2.30259	2.30259
40	el	1	0.356675	0.356675
46	familia	1	2.30259	2.30259
58	la	2	0.356675	0.71335
62	local	1	1.20397	1.20397
71	monta	1	2.30259	2.30259
72	mostr	1	2.30259	2.30259
82	os	1	1.60944	1.60944
83	osos	1	2.30259	2.30259
86	paisaje	1	2.30259	2.30259
87	paisajes	1	2.30259	2.30259
95	por	1	2.30259	2.30259
99	r	1	2.30259	2.30259
120	viaje	1	2.30259	2.30259
121	y	2	0.105361	0.210721

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc08.txt
Idx	Termino	TF	IDF	TF-IDF
8	aplaudieron	1	2.30259	2.30259
14	blico	1	2.30259	2.30259
21	cl	1	2.30259	2.30259
27	con	1	1.60944	1.60944
28	concierto	1	2.30259	2.30259
29	contempor	1	2.30259	2.30259
35	director	1	2.30259	2.30259
36	dirigi	1	2.30259	2.30259
40	el	3	0.356675	1.07002
63	los	1	0.916291	0.916291
65	m	2	2.30259	4.60517
74	n	1	1.20397	1.20397
75	nea	1	2.30259	2.30259
81	ofreci	1	2.30259	2.30259
84	p	1	1.60944	1.60944
90	pasi	1	2.30259	2.30259
106	sica	2	1.60944	3.21888
107	sicos	1	2.30259	2.30259
121	y	2	0.105361	0.210721

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc09.txt
Idx	Termino	TF	IDF	TF-IDF
2	actividad	1	2.30259	2.30259
12	bienestar	1	2.30259	2.30259
13	blica	1	2.30259	2.30259
26	comunitarios	1	2.30259	2.30259
40	el	1	0.356675	0.356675
45	f	1	1.60944	1.60944
48	fomentan	1	2.30259	2.30259
58	la	3	0.356675	1.07002
74	n	1	1.20397	1.20397
84	p	1	1.60944	1.60944
96	prevenci	1	2.30259	2.30259
97	programas	1	2.30259	2.30259
98	promueve	1	2.30259	2.30259
104	salud	1	2.30259	2.30259
106	sica	1	1.60944	1.60944
121	y	1	0.105361	0.105361

Documento: /workspaces/modelos_basados_contenido/samples/new_docs/doc10.txt
Idx	Termino	TF	IDF	TF-IDF
9	arte	1	2.30259	2.30259
11	artistas	1	2.30259	2.30259
23	cnicas	1	2.30259	2.30259
33	de	1	1.20397	1.20397
40	el	1	0.356675	0.356675
42	esculturas	1	2.30259	2.30259
43	estilos	1	2.30259	2.30259
44	exhibe	1	2.30259	2.30259
62	local	1	1.20397	1.20397
63	los	1	0.916291	0.916291
68	mercado	1	2.30259	2.30259
73	muestran	1	2.30259	2.30259
80	nuevas	1	2.30259	2.30259
93	pinturas	1	2.30259	2.30259
111	t	1	2.30259	2.30259
121	y	2	0.105361	0.210721

Matriz de similitud coseno:
	0	1	2	3	4	5	6	7	8	9	
0	1	0.00568828	0.00480499	0.149924	0.00560604	0.00204049	0.0124914	0.00468916	0.0193855	0.00218322	
1	0.00568828	1	0.00184468	0.0143679	0.00215221	0.000178517	0.0643976	0.0109079	0.00646763	0.0368151	
2	0.00480499	0.00184468	1	0.00159703	0.00181801	0.0705251	0.03613	0.0157357	0.0256271	0.000298716	
3	0.149924	0.0143679	0.00159703	1	0.0230939	0.00385145	0.00714611	0.0499583	0.050011	0.0381355	
4	0.00560604	0.00215221	0.00181801	0.0230939	1	0.000175936	0.00406746	0.00027695	0.00637412	0.0231032	
5	0.00204049	0.000178517	0.0705251	0.00385145	0.000175936	1	0.00227059	0.00520663	0.00232005	0.00242415	
6	0.0124914	0.0643976	0.03613	0.00714611	0.00406746	0.00227059	1	0.00509582	0.0142028	0.0244005	
7	0.00468916	0.0109079	0.0157357	0.0499583	0.00027695	0.00520663	0.00509582	1	0.127058	0.0161615	
8	0.0193855	0.00646763	0.0256271	0.050011	0.00637412	0.00232005	0.0142028	0.127058	1	0.00248234	
9	0.00218322	0.0368151	0.000298716	0.0381355	0.0231032	0.00242415	0.0244005	0.0161615	0.00248234	1	
